Model Number,Name,Model,Color,Manufacturing Company,Additional Features,Mileage,Engine CC,Price,Reviews
SLMVYWJ5,Maxima,2016,Silver,Rolls-Royce,Blind Spot Monitoring; Premium Sound System; Leather Seats; Bluetooth; Navigation System; Backup Camera; Sunroof,21.6,2957.1,54960.26,4.8
3D72PVY4,F-250,2022,Silver,Suzuki,Sunroof; Bluetooth; Adaptive Cruise Control; Navigation System; Lane Departure Warning,22.1,4233.7,50094.42,4.3
URRAVSAL,CX-5,2016,Black,Chevrolet,Lane Departure Warning; Adaptive Cruise Control; Sunroof,21.1,1172.5,21500.81,4.0
RBHHWE32,Altima,2011,Yellow,Rolls-Royce,Backup Camera; Premium Sound System; Blind Spot Monitoring; Leather Seats; Sunroof; Adaptive Cruise Control,27.2,4210.9,27198.5,3.2
EF7C0AAN,X3,2022,Yellow,Mitsubishi,Premium Sound System,25.0,4497.4,77489.91,4.8
DLZUV9NP,Q5,2017,Orange,Suzuki,Bluetooth; Leather Seats; Backup Camera; Premium Sound System; Sunroof; Adaptive Cruise Control,29.6,3643.4,71520.62,3.7
0KDIE8WC,Ram 2500,2010,White,Mitsubishi,Bluetooth; Navigation System; Premium Sound System; Backup Camera; Adaptive Cruise Control; Blind Spot Monitoring; Leather Seats; Sunroof; Lane Departure Warning,26.2,3974.2,78124.28,3.8
7PW761LH,Fusion,2021,Red,Rolls-Royce,Bluetooth; Lane Departure Warning,14.8,4455.2,46730.54,3.9
VCRAYT03,Passat,2014,Gray,Chevrolet,Sunroof; Lane Departure Warning,24.6,2997.1,58894.82,4.4
A4J7UZ2V,Altima,2018,Red,Chevrolet,Leather Seats; Lane Departure Warning; Navigation System; Adaptive Cruise Control,26.1,4146.8,51288.23,4.3
MW08ZIFS,Challenger,2016,Gray,Chevrolet,Blind Spot Monitoring; Leather Seats; Premium Sound System; Sunroof; Adaptive Cruise Control; Backup Camera; Bluetooth; Lane Departure Warning,21.6,3254.2,24132.03,3.8
JWAG2BAP,Legacy,2018,Blue,BMW,Navigation System; Premium Sound System; Sunroof; Adaptive Cruise Control; Bluetooth; Lane Departure Warning; Leather Seats; Backup Camera; Blind Spot Monitoring,16.1,1499.2,42420.24,4.1
1NE9RUES,Sienna,2019,Blue,Rolls-Royce,Adaptive Cruise Control; Bluetooth; Blind Spot Monitoring; Lane Departure Warning; Navigation System; Sunroof; Backup Camera; Premium Sound System; Leather Seats,18.0,2825.2,36445.63,4.8
D6AGIPQY,WRX,2013,Yellow,Audi,Navigation System; Premium Sound System; Leather Seats; Bluetooth; Blind Spot Monitoring; Backup Camera,13.6,1116.2,66698.22,3.2
YWK4G79Y,Mazda3,2014,Gray,BMW,Backup Camera; Leather Seats; Bluetooth; Navigation System; Sunroof; Blind Spot Monitoring; Lane Departure Warning,25.6,4131.2,61523.55,3.4
PCICD771,3 Series,2014,Silver,Suzuki,Adaptive Cruise Control; Sunroof; Backup Camera; Navigation System; Leather Seats; Lane Departure Warning; Bluetooth,17.2,3932.9,26417.84,4.2
WB1EQ748,Q5,2010,Yellow,Audi,Leather Seats; Premium Sound System; Lane Departure Warning; Navigation System; Adaptive Cruise Control,17.6,3475.0,38596.88,3.4
58MSLSHK,5 Series,2010,Blue,Suzuki,Adaptive Cruise Control; Bluetooth; Navigation System,29.0,4668.7,22907.74,4.2
KZE7PA4E,Crosstrek,2015,Green,Suzuki,Sunroof; Bluetooth; Backup Camera; Leather Seats; Adaptive Cruise Control; Blind Spot Monitoring; Premium Sound System; Navigation System,16.6,1230.4,32555.45,3.8
ENLOG307,Tacoma,2019,Silver,Rolls-Royce,Sunroof; Blind Spot Monitoring; Premium Sound System; Adaptive Cruise Control; Bluetooth; Backup Camera,10.2,1217.1,64331.63,4.4
M7W32YHJ,Fusion,2017,Black,Rolls-Royce,Blind Spot Monitoring; Lane Departure Warning; Navigation System,19.9,2558.5,22652.62,3.6
AI1820Y0,Leaf,2013,Black,Rolls-Royce,Backup Camera; Leather Seats; Lane Departure Warning; Premium Sound System; Navigation System; Sunroof; Bluetooth; Adaptive Cruise Control,16.3,4811.5,67871.11,4.1
SQYFNJVP,Mustang,2019,Red,Suzuki,Premium Sound System; Navigation System; Bluetooth,28.8,4051.5,25144.67,4.9
GZVHRKQI,Civic,2011,Silver,Mitsubishi,Sunroof,28.2,2470.9,43469.01,3.4
SBVF31KD,Forester,2010,Orange,Mitsubishi,Premium Sound System; Navigation System; Leather Seats; Sunroof; Backup Camera; Lane Departure Warning; Bluetooth; Adaptive Cruise Control,20.0,2827.5,35852.25,3.3
Q7H2RZH3,Pilot,2017,Blue,Rolls-Royce,Backup Camera; Bluetooth,29.5,3964.6,52898.48,4.7
GFLT2ALU,Escape,2015,Red,Audi,Sunroof; Lane Departure Warning; Backup Camera; Blind Spot Monitoring; Premium Sound System; Bluetooth; Adaptive Cruise Control,25.2,3899.9,61897.94,4.7
HNU7R145,Crosstrek,2010,Red,Chevrolet,Bluetooth; Lane Departure Warning; Navigation System; Leather Seats; Blind Spot Monitoring; Premium Sound System; Backup Camera; Adaptive Cruise Control,14.0,2496.8,22438.34,3.7
NS8OU48G,Passat,2016,Blue,Rolls-Royce,Sunroof; Backup Camera; Lane Departure Warning,27.8,2315.8,77261.39,3.1
ZZGNBIIX,C-Class,2022,Silver,Mitsubishi,Blind Spot Monitoring; Lane Departure Warning; Sunroof,19.4,2845.4,71995.02,4.3
45YUNO3B,Corolla,2011,Yellow,Mitsubishi,Navigation System; Blind Spot Monitoring; Lane Departure Warning; Adaptive Cruise Control,12.9,2594.8,65296.43,4.2
KJZM38ER,Sienna,2011,Green,Audi,Leather Seats; Adaptive Cruise Control; Premium Sound System; Lane Departure Warning; Navigation System; Sunroof; Blind Spot Monitoring; Bluetooth,12.1,2971.5,66493.76,4.9
LBB5UG44,Accord,2014,Red,Audi,Leather Seats; Backup Camera; Premium Sound System; Navigation System; Adaptive Cruise Control,20.4,1768.6,65374.29,3.1
9VBWPMLT,Touareg,2013,Green,Rolls-Royce,Navigation System; Leather Seats; Backup Camera; Adaptive Cruise Control,18.7,4084.5,27577.06,3.6
HGWQV6IA,Stinger,2015,Blue,Audi,Backup Camera; Bluetooth; Adaptive Cruise Control; Sunroof; Blind Spot Monitoring; Premium Sound System; Navigation System; Lane Departure Warning; Leather Seats,26.6,4661.1,38974.8,4.1
KUQ3LCKD,3 Series,2020,Silver,Chevrolet,Lane Departure Warning; Navigation System; Leather Seats; Backup Camera; Sunroof; Bluetooth; Blind Spot Monitoring; Adaptive Cruise Control; Premium Sound System,13.7,2569.9,61308.46,3.0
EIUUC8SA,Ascent,2014,Red,Audi,Sunroof; Blind Spot Monitoring; Adaptive Cruise Control; Leather Seats; Bluetooth,26.0,3437.4,64450.58,4.9
6I23OTHY,Civic,2013,Silver,Chevrolet,Bluetooth; Backup Camera; Lane Departure Warning; Sunroof; Blind Spot Monitoring,11.8,2627.1,71450.33,4.5
APMKUFEZ,Jetta,2011,Green,BMW,Premium Sound System,29.7,4765.1,51812.98,3.7
A7I7PH14,Bronco,2012,Green,BMW,Adaptive Cruise Control; Blind Spot Monitoring,11.9,1328.4,61870.73,4.2
F1MTUM29,Rogue,2011,Gray,Audi,Bluetooth; Sunroof; Lane Departure Warning; Premium Sound System; Navigation System; Leather Seats; Adaptive Cruise Control; Blind Spot Monitoring; Backup Camera,26.7,3847.6,28824.46,4.2
CIOQ2JOP,Touareg,2018,Silver,Chevrolet,Sunroof; Bluetooth; Navigation System; Backup Camera,27.3,3890.2,76282.86,3.1
J5DRCXIF,Gladiator,2016,Silver,BMW,Blind Spot Monitoring; Adaptive Cruise Control; Leather Seats,23.1,1956.8,27139.69,3.4
FCLZ9X81,Escape,2010,Gray,BMW,Sunroof; Leather Seats; Navigation System; Premium Sound System; Bluetooth; Adaptive Cruise Control; Blind Spot Monitoring,17.7,2044.7,71480.37,4.2
R4LYDOQ7,Jetta,2011,Blue,Audi,Backup Camera; Navigation System; Premium Sound System,14.6,3655.2,36757.87,3.4
X8GOMAXX,Mazda3,2016,Blue,Audi,Sunroof; Blind Spot Monitoring; Bluetooth; Adaptive Cruise Control,24.1,1951.8,34235.69,3.0
WXQ78104,4Runner,2014,Silver,BMW,Lane Departure Warning; Sunroof; Navigation System,16.4,2790.7,51570.15,3.7
Z57CJX6A,Wrangler,2012,Green,Rolls-Royce,Adaptive Cruise Control,27.1,3549.5,50095.69,3.2
V6PPOQR3,3 Series,2014,White,Rolls-Royce,Adaptive Cruise Control; Premium Sound System; Leather Seats; Blind Spot Monitoring,21.5,2966.7,61553.13,3.3
3VVYNTM2,Grand Caravan,2016,White,Chevrolet,Premium Sound System,28.7,4887.4,64484.41,3.9
S2J4SQTY,X3,2017,Silver,Chevrolet,Premium Sound System; Navigation System,23.4,1048.7,34067.55,4.6
JZSAD1FB,Fiesta,2010,White,Chevrolet,Leather Seats; Navigation System; Sunroof; Blind Spot Monitoring; Backup Camera; Lane Departure Warning; Bluetooth; Premium Sound System; Adaptive Cruise Control,25.3,2201.3,32800.74,3.1
OX6EB0XK,Highlander,2018,Silver,Mitsubishi,Sunroof; Navigation System; Backup Camera; Premium Sound System; Adaptive Cruise Control; Blind Spot Monitoring; Bluetooth,26.4,1062.4,52174.51,3.2
0FZHHKDA,Altima,2020,Silver,Mitsubishi,Blind Spot Monitoring; Navigation System; Sunroof; Backup Camera; Bluetooth,12.7,2569.9,51333.76,3.6
MPJXMJYG,3 Series,2016,Black,BMW,Navigation System; Sunroof; Lane Departure Warning; Backup Camera; Premium Sound System; Leather Seats; Blind Spot Monitoring,28.8,2815.7,32042.08,3.9
JVNUJSZ4,Touareg,2015,Gray,Chevrolet,Adaptive Cruise Control; Premium Sound System; Bluetooth; Leather Seats,21.5,2402.1,42857.11,4.5
DGRUOVC3,Gladiator,2010,Blue,BMW,Adaptive Cruise Control,12.3,1757.3,63679.44,4.8
XND3UJ75,A4,2021,Gray,Mitsubishi,Lane Departure Warning; Backup Camera; Blind Spot Monitoring; Adaptive Cruise Control,13.2,1601.0,58041.29,3.3
951KWY12,Leaf,2014,Gray,Mitsubishi,Sunroof; Leather Seats; Navigation System; Premium Sound System; Lane Departure Warning; Bluetooth; Backup Camera,28.7,2722.9,36659.03,4.3
T8TPXE0Z,Sportage,2019,Black,BMW,Navigation System; Premium Sound System,17.7,2282.0,33841.63,4.7
WLF391QW,Highlander,2019,Gray,Suzuki,Premium Sound System; Navigation System; Adaptive Cruise Control; Leather Seats; Bluetooth,21.2,1655.4,59600.2,3.8
PMOBIH6R,Tacoma,2021,Red,Rolls-Royce,Adaptive Cruise Control,22.2,3713.0,54140.2,3.3
VWC858DE,Ranger,2020,White,Chevrolet,Premium Sound System,24.6,4500.0,30201.0,3.1
5MFR6868,Sportage,2019,Green,Suzuki,Sunroof; Lane Departure Warning; Leather Seats; Premium Sound System,21.4,4107.1,78561.69,4.2
AQ0CTJX8,4Runner,2011,Red,Chevrolet,Blind Spot Monitoring; Leather Seats; Adaptive Cruise Control; Sunroof; Lane Departure Warning,10.4,4334.7,39174.94,3.3
3HM131V3,Compass,2012,Black,Audi,Leather Seats,21.2,3628.1,79665.74,4.5
UKKFU67O,Stinger,2019,White,Mitsubishi,Backup Camera; Blind Spot Monitoring; Leather Seats; Sunroof; Adaptive Cruise Control; Premium Sound System,25.1,4561.9,65032.77,4.0
MI0KEDC9,Escape,2013,Black,Audi,Lane Departure Warning,29.4,3342.7,44823.78,4.2
VNHP1MPG,A4,2022,Green,Chevrolet,Blind Spot Monitoring; Bluetooth; Adaptive Cruise Control; Navigation System; Lane Departure Warning,13.5,1196.4,45660.64,5.0
36ROF5ZJ,Legacy,2016,Gray,Suzuki,Bluetooth; Navigation System; Leather Seats; Adaptive Cruise Control; Lane Departure Warning; Sunroof; Backup Camera; Premium Sound System; Blind Spot Monitoring,27.1,2649.0,79013.52,4.6
RR4S5VWF,Camry,2014,Gray,Chevrolet,Blind Spot Monitoring; Bluetooth; Adaptive Cruise Control,20.7,3087.5,29405.5,4.6
3PULUOJL,Crosstrek,2022,Yellow,BMW,Premium Sound System; Leather Seats,14.8,1613.9,23834.53,4.0
ULZL87R0,E-Class,2014,Blue,Audi,Adaptive Cruise Control; Premium Sound System; Lane Departure Warning; Blind Spot Monitoring; Navigation System; Leather Seats; Bluetooth; Backup Camera,24.0,2711.0,61681.07,4.3
NUDAW0BU,Bronco,2019,White,Suzuki,Blind Spot Monitoring; Lane Departure Warning; Backup Camera; Premium Sound System; Leather Seats; Navigation System,15.8,4894.9,41174.8,3.4
DIRE51Y9,Ram 1500,2019,Yellow,Suzuki,Backup Camera; Premium Sound System; Sunroof; Adaptive Cruise Control; Navigation System; Leather Seats; Lane Departure Warning,20.0,1906.2,55895.74,4.6
RBL7MRYK,Jetta,2010,Silver,Rolls-Royce,Bluetooth; Adaptive Cruise Control,21.6,3394.3,53111.61,3.9
7N36BKP1,Golf,2014,Green,Audi,Blind Spot Monitoring,27.5,3478.7,28536.22,3.7
3D3SODS4,Fiesta,2010,Green,Mitsubishi,Navigation System; Premium Sound System,13.3,3054.9,35366.58,4.2
1K3EM10V,RAV4,2014,Yellow,Mitsubishi,Blind Spot Monitoring; Navigation System; Adaptive Cruise Control; Backup Camera; Bluetooth; Sunroof; Premium Sound System; Leather Seats; Lane Departure Warning,12.4,2394.4,54461.24,4.9
2OBRB3SH,Renegade,2010,Red,BMW,Bluetooth; Navigation System; Sunroof; Leather Seats; Adaptive Cruise Control,28.1,1366.3,33594.53,4.5
2WZIM4X2,Tundra,2022,Orange,BMW,Navigation System; Bluetooth,15.0,4960.6,41297.82,3.6
8QTH9SLU,Golf,2011,Gray,BMW,Lane Departure Warning; Leather Seats; Backup Camera; Bluetooth; Adaptive Cruise Control; Sunroof; Premium Sound System; Blind Spot Monitoring,23.7,4537.8,21508.87,3.2
ZJ71RGXY,Jetta,2017,Gray,Suzuki,Lane Departure Warning; Bluetooth; Backup Camera; Leather Seats; Premium Sound System; Adaptive Cruise Control; Blind Spot Monitoring; Sunroof; Navigation System,30.0,4125.1,61163.63,3.9
